Stock Code,Stock name, Price, Compared to the previous day,,fluctuation rate,Volume,sell price,buying price,open price, high price, low price
'016740,두올,2295,▼,-60,-2.55,37407,2320,2295,2370,2395,2290
'016800,퍼시스,27500,▼,-100,-0.36,509,27500,27350,27300,27950,27250
'016880,웅진,1115,▼,-20,-1.76,77373,1115,1110,1135,1140,1110
'017040,광명전기,2030,▼,-20,-0.98,267668,2035,2030,2070,2100,2030
'017180,명문제약,2460,▼,-20,-0.81,59940,2460,2455,2505,2505,2450
'017370,우신시스템,2495,▲,95,3.96,133686,2495,2475,2390,2525,2360
'017390,서울가스,331000,▼,-1000,-0.3,4377,331000,330000,335000,335500,326000
'017550,수산중공업,2615,▲,30,1.16,736473,2630,2615,2610,2730,2610
'017670,SK텔레콤,49200,▼,-350,-0.71,364950,49250,49200,49350,49450,49000
'017800,현대엘리베이,22800,▼,-300,-1.3,58615,22850,22800,23150,23250,22800
'017810,풀무원,10150,▼,-250,-2.4,34326,10150,10100,10400,10400,10050
'017900,광전자,2090, ,0,0,35453,2115,2090,2085,2145,2070
'017940,E1,42800,▼,-50,-0.12,8594,42800,42750,43200,43200,42500
'017960,한국카본,10550,▼,-100,-0.94,245230,10600,10550,10650,10800,10500
'018250,애경산업,10800,▼,-100,-0.92,8853,10850,10800,10850,10950,10750
'018260,삼성에스디에스,121500,▲,1000,0.83,89133,122000,121500,120500,123000,119500
'018470,조일알미늄,2380,▼,-20,-0.83,3359151,2385,2380,2410,2435,2355
'018500,동원금속,896,▲,1,0.11,115141,899,896,895,906,882
'018670,SK가스,112000, ,0,0,3712,112000,111500,112500,113000,110000
'018880,한온시스템,7450,▼,-90,-1.19,423525,7460,7450,7400,7540,7400
'019170,신풍제약,20450,▼,-150,-0.73,170331,20450,20400,20700,21200,20400
'019175,신풍제약우,32500,▼,-50,-0.15,1738,32500,32300,32600,32650,32500
'019180,티에이치엔,3560,▲,15,0.42,234137,3570,3560,3615,3660,3510
'019440,세아특수강,18800,▼,-1000,-5.05,233279,18800,18750,19750,19800,18500
'019490,하이트론,2470, ,0,0,0,0,0,0,0,0
'019680,대교,2235, ,0,0,23522,2235,2230,2235,2240,2185
'019685,대교우B,1680,▲,65,4.02,26159,1680,1675,1620,1730,1620
'020000,한섬,24700,▼,-300,-1.2,52203,24750,24700,25000,25100,24450
'020120,키다리스튜디오,6210,▼,-170,-2.66,63743,6240,6210,6380,6400,6190
'020150,일진머티리얼즈,56200,▼,-600,-1.06,289861,56300,56200,57200,57900,56200
'020560,아시아나항공,11000,▲,300,2.8,385553,11050,11000,10800,11100,10700
'020760,일진디스플,1195, ,0,0,62216,1195,1185,1195,1215,1180
'021050,서원,1325,▼,-55,-3.99,359932,1330,1325,1390,1400,1320
'021240,코웨이,53900,▲,400,0.75,175894,54000,53900,53500,54700,53100
