Stock Code,Stock name, Price, Compared to the previous day,,fluctuation rate,Volume,sell price,buying price,open price, high price, low price
'100250,진양홀딩스,3015,▲,10,0.33,86595,3015,3000,3005,3025,2990
'100840,SNT에너지,18200,▲,450,2.54,59659,18300,18200,17950,18450,17600
'100910,KOSEF KRX100,4625,▲,30,0.65,66,4625,4610,4605,4645,4595
'101140,인바이오젠,680,▼,-38,-5.29,531281,681,680,723,723,680
'101280,KODEX 일본TOPIX100,15590,▲,155,1,386,15590,15460,15595,15600,15450
'101530,해태제과식품,5930, ,0,0,3341,5950,5930,5960,6000,5900
'102110,TIGER 200,29535,▲,215,0.73,791356,29535,29525,29310,29675,29250
'102260,동성케미컬,4555,▲,15,0.33,30826,4560,4555,4535,4555,4520
'102280,쌍방울,375,▼,-12,-3.1,3694051,376,375,388,393,375
'102460,이연제약,19150,▼,-150,-0.78,58146,19200,19150,19400,20100,18900
'102780,KODEX 삼성그룹,8735,▲,155,1.81,3455555,8735,8730,8605,8755,8585
'102960,KODEX 기계장비,4975,▲,65,1.32,103424,4975,4955,4950,4995,4925
'102970,KODEX 증권,4980,▼,-10,-0.2,118410,4980,4975,5010,5020,4950
'103140,풍산,26550,▼,-250,-0.93,53555,26550,26500,26850,27000,26400
'103590,일진전기,4385,▲,5,0.11,87247,4400,4385,4400,4450,4370
'104520,KOSEF 블루칩,7255,▼,-20,-0.27,81,7255,7230,7280,7295,7245
'104530,KOSEF 고배당,7680,▼,-10,-0.13,1344,7680,7655,7700,7710,7660
'104700,한국철강,5680,▼,-100,-1.73,67995,5690,5680,5790,5850,5680
'105010,TIGER 라틴35,4240,▼,-35,-0.82,2725,4260,4240,4275,4275,4240
'105190,ACE 200,29645,▲,205,0.7,4211,29645,29625,29320,29790,29320
'105560,KB금융,45300,▼,-450,-0.98,1078269,45350,45300,45500,46100,45150
'105630,한세실업,14600,▲,100,0.69,105623,14650,14600,14600,14800,14400
'105780,KBSTAR 5대그룹주,5725,▲,20,0.35,3681,5745,5725,5710,5760,5705
'105840,우진,8080,▼,-40,-0.49,741134,8090,8080,8300,8400,8080
'107590,미원홀딩스,118500,▼,-1000,-0.84,173,118500,118000,119000,119500,118000
'108450,ACE 삼성그룹섹터가중,14610,▲,280,1.95,65532,14615,14575,14420,14610,14420
'108590,TREX 200,30220,▲,200,0.67,35,30220,30190,30000,30360,30000
'108670,LX하우시스,30900,▼,-250,-0.8,12223,31000,30900,31450,31600,30900
'108675,LX하우시스우,14750,▼,-550,-3.59,1553,14750,14700,15050,15350,14700
'109070,컨버즈,4100, ,0,0,0,0,0,0,0,0
'111110,호전실업,6720,▼,-10,-0.15,28821,6720,6700,6760,6860,6640
'111770,영원무역,44250,▲,400,0.91,64478,44300,44250,43450,44600,43450
'112610,씨에스윈드,57900,▼,-100,-0.17,338022,57900,57800,58100,59100,57200
'114090,GKL,14250,▲,150,1.06,208943,14250,14200,14100,14400,14000
'114100,KBSTAR 국고채3년,106260,▲,210,0.2,306,106260,106190,106160,106260,106005
'114260,KODEX 국고채3년,55355,▲,45,0.08,1140,55410,55355,55210,55450,55190
'114460,ACE 국고채3년,100350,▲,290,0.29,21,100310,100230,100250,100350,100055
'114470,KOSEF 국고채3년,105570,▲,195,0.19,15,105745,105675,105645,105645,105540
'114800,KODEX 인버스,5215,▼,-35,-0.67,29904535,5215,5210,5255,5265,5185
'114820,TIGER 국채3년,104090,▲,190,0.18,177,104090,104010,103900,104140,103795
'115390,락앤락,5650,▼,-200,-3.42,125858,5660,5650,5860,5860,5580
'117460,KODEX 에너지화학,13935,▲,75,0.54,84297,13935,13900,13910,14070,13880
'117580,대성에너지,10950,▼,-200,-1.79,195801,10950,10900,11250,11350,10950
'117680,KODEX 철강,7290,▼,-65,-0.88,83774,7290,7280,7315,7380,7270
'117690,TIGER 차이나항셍25,11750,▼,-45,-0.38,4646,11750,11720,11730,12020,11560
'117700,KODEX 건설,2650,▼,-30,-1.12,304167,2655,2650,2685,2700,2640
'118000,초록뱀헬스케어,551,▲,7,1.29,60611,551,549,542,558,541
'119650,KC코트렐,2170,▼,-45,-2.03,43082,2170,2155,2225,2240,2140
'120030,조선선재,101500,▼,-1500,-1.46,10844,102000,101500,104000,105000,101500
'120110,코오롱인더,41050,▼,-1000,-2.38,186562,41100,41050,42100,42200,40900
'120115,코오롱인더우,23350,▼,-350,-1.48,6364,23350,23300,23700,23750,23250
'122090,ARIRANG 코스피50,20495,▲,185,0.91,22902,20495,20440,20375,20555,20330
'122260,KOSEF 통안채1년,101050,▲,35,0.03,6757,101055,101050,101015,101060,101015
'122630,KODEX 레버리지,12835,▲,170,1.34,32072080,12835,12830,12665,12965,12615
'122900,아이마켓코리아,10100,▲,50,0.5,42460,10100,10050,10100,10150,10000
'123310,TIGER 인버스,5815,▼,-50,-0.85,2104601,5820,5815,5865,5870,5785
'123320,TIGER 레버리지,12355,▲,170,1.4,77554,12390,12355,12225,12495,12160
'123690,한국화장품,6000,▼,-130,-2.12,25391,6010,6000,6240,6260,5890
'123700,SJM,3400,▼,-90,-2.58,23450,3405,3400,3490,3490,3340
'123890,한국자산신탁,2865,▼,-20,-0.69,109618,2880,2865,2910,2910,2845
'126560,현대퓨처넷,2535,▲,35,1.4,760003,2540,2535,2530,2735,2490
'126720,수산인더스트리,22000,▲,150,0.69,65632,22000,21950,22200,22300,21450
'128820,대성산업,3890,▼,-75,-1.89,143947,3900,3890,3955,3990,3890
'128940,한미약품,246000,▲,500,0.2,14752,246500,246000,245000,248500,242500
'129260,인터지스,2615,▼,-30,-1.13,77949,2615,2610,2650,2670,2610
'130660,한전산업,7970,▲,190,2.44,2387187,7980,7970,7830,9250,7740
'130680,TIGER 원유선물Enhanced(H),4665,▼,-15,-0.32,294394,4665,4660,4685,4685,4650
'130730,KOSEF 단기자금,101770,▲,5,0,455,101770,101765,101765,101770,101760
'131890,ACE 삼성그룹동일가중,15075,▲,130,0.87,195,15075,15025,14995,15095,14945
'132030,KODEX 골드선물(H),11055,▲,75,0.68,168350,11055,11050,10980,11060,10965
'133690,TIGER 미국나스닥100,72965,▼,-490,-0.67,131543,72975,72965,73095,73215,72875
'133820,화인베스틸,2135,▼,-15,-0.7,25939,2135,2130,2150,2160,2100
'134380,미원화학,59900,▼,-600,-0.99,154,59900,59800,60700,60700,59900
'134790,시디즈,37250,▼,-1650,-4.24,12335,37300,37250,38700,38700,37200
'136340,KBSTAR 중기우량회사채,99905,▼,-35,-0.04,315,100065,99925,99795,99980,99795
'136490,선진,7680,▼,-140,-1.79,49085,7700,7680,7840,7840,7610
'137310,에스디바이오센서,28650,▼,-50,-0.17,315510,28700,28650,29200,30000,28500
'137610,TIGER 농산물선물Enhanced(H),7775,▲,80,1.04,14990,7775,7745,7840,7840,7715
'137930,마이다스 200커버드콜5%OTM,11435,▲,70,0.62,19,11455,11425,11405,11455,11365
'138040,메리츠금융지주,20550,▼,-400,-1.91,131905,20550,20500,21050,21150,20450
'138230,KOSEF 미국달러선물,15030,▼,-105,-0.69,100996,15095,15030,15100,15115,15030
'138490,코오롱플라스틱,9530,▼,-370,-3.74,200227,9540,9530,9920,9920,9500
'138520,TIGER 삼성그룹펀더멘털,10240,▲,180,1.79,22009,10240,10205,10135,10240,10100
'138530,TIGER LG그룹+펀더멘털,7985,▼,-20,-0.25,824,7990,7985,7980,8040,7955
'138540,TIGER 현대차그룹+펀더멘털,19425,▼,-60,-0.31,18998,19425,19405,19600,19600,19335
'138910,KODEX 구리선물(H),6150,▲,30,0.49,5479,6160,6150,6120,6160,6080
'138920,KODEX 콩선물(H),13410,▲,65,0.49,1865,13435,13400,13445,13445,13315
'138930,BNK금융지주,6250,▲,10,0.16,988235,6260,6250,6250,6300,6220
'139130,DGB금융지주,6970,▼,-20,-0.29,612458,6970,6960,7020,7020,6950
'139220,TIGER 200 건설,2495,▼,-40,-1.58,212991,2505,2495,2535,2540,2495
'139230,TIGER 200 중공업,2565,▼,-15,-0.58,382889,2575,2565,2600,2610,2565
'139240,TIGER 200 철강소재,7425,▼,-55,-0.74,1776,7425,7410,7440,7500,7410
'139250,TIGER 200 에너지화학,14340,▲,50,0.35,3388,14340,14295,14380,14450,14275
'139260,TIGER 200 IT,27685,▲,405,1.48,127065,27685,27660,27390,27770,27220
'139270,TIGER 200 금융,5390,▼,-40,-0.74,3189,5390,5375,5415,5445,5380
'139280,TIGER 경기방어,8880,▲,20,0.23,1890,8880,8855,8820,8895,8820
'139290,TIGER 200 경기소비재,13405,▼,-80,-0.59,88,13405,13380,13385,13490,13385
'139310,TIGER 금속선물(H),5885,▲,100,1.73,355,5885,5840,5815,5890,5795
'139320,TIGER 금은선물(H),8535,▲,55,0.65,154,8545,8520,8535,8535,8480
'139480,이마트,82500,▼,-2800,-3.28,109096,82600,82500,85300,86000,82300
'139660,KOSEF 미국달러선물인버스,8350,▲,45,0.54,33340,8350,8335,8320,8350,8305
'139990,아주스틸,8870,▼,-60,-0.67,18937,8890,8870,8930,8980,8860
'140570,KBSTAR 수출주,9530,▼,-50,-0.52,133,9570,9545,9585,9635,9530
'140580,KBSTAR 우량업종,9380,▼,-30,-0.32,11,9425,9395,9410,9435,9380
'140700,KODEX 보험,6115,▼,-80,-1.29,112990,6115,6110,6180,6180,6075
'140710,KODEX 운송,4255,▲,5,0.12,3950,4255,4240,4275,4275,4240
'140910,에이리츠,3925,▲,5,0.13,2222,3925,3905,3865,3935,3865
'140950,파워 코스피100,22490,▲,305,1.37,403,22490,22470,22350,22505,22295
'143210,핸즈코퍼레이션,2950,▼,-95,-3.12,28738,2995,2950,3050,3050,2950
'143460,ACE 밸류대형,7675,▲,45,0.59,21,7680,7655,7650,7675,7650
'143850,TIGER 미국S&P500선물(H),44705,▲,160,0.36,96925,44705,44680,44720,44780,44625
'143860,TIGER 헬스케어,26595,▲,20,0.08,26920,26595,26540,26560,26770,26330
'144600,KODEX 은선물(H),3910,▲,55,1.43,176606,3910,3905,3855,3915,3835
'145210,다이나믹디자인,12050,▼,-1100,-8.37,202448,12300,12050,13150,13150,12000
'145270,케이탑리츠,875,▼,-2,-0.23,40471,876,875,877,887,870
'145670,ACE 인버스,6435,▼,-40,-0.62,4668,6435,6425,6445,6485,6405
'145720,덴티움,77500,▼,-1300,-1.65,56433,77600,77500,79300,80200,77500
'145850,TREX 펀더멘탈 200,32045,▲,175,0.55,1,32045,31790,32045,32045,32045
'145990,삼양사,36200,▲,50,0.14,25027,36200,36150,36350,36400,35750
'145995,삼양사우,31500,▲,200,0.64,39,31600,31050,31600,31600,31500
'147970,TIGER 모멘텀,21210, ,0,0,77,21210,21155,21235,21260,21175
'148020,KBSTAR 200,29645,▲,205,0.7,82827,29660,29645,29445,29800,29400
'148070,KOSEF 국고채10년,103995,▲,1165,1.13,19846,103995,103970,103120,104060,102750
'150460,TIGER 중국소비테마,5910,▼,-50,-0.84,5859,5910,5885,5905,5930,5860
'152100,ARIRANG 200,30005,▲,195,0.65,65274,30030,30005,29710,30160,29710
'152380,KODEX 국채선물10년,59800,▲,600,1.01,17674,59800,59795,59525,59890,59120
'152500,ACE 레버리지,5105,▲,50,0.99,11345,5130,5105,5065,5190,5045
'152870,파워 200,29880,▲,205,0.69,146,29880,29870,29695,30005,29610
'153130,KODEX 단기채권,103870, ,0,0,1278896,103875,103870,103845,103880,103845
'153270,KOSEF 코스피100,22325,▲,195,0.88,135990,22325,22245,22170,22385,22115
'155660,DSR,4810,▼,-30,-0.62,13746,4810,4790,4880,4880,4775
'155900,바다로19호,3285, ,0,0,8528,3285,3280,3285,3285,3275
'156080,KODEX MSCI Korea,14105,▲,155,1.11,64,14110,14070,13945,14140,13945
'157450,TIGER 단기통안채,101490,▲,5,0,662668,101495,101490,101480,101505,101480
'157490,TIGER 소프트웨어,7975,▼,-65,-0.81,58755,7980,7975,8070,8075,7960
'157500,TIGER 증권,2960,▼,-20,-0.67,13041,2960,2950,2990,2990,2950
'159800,마이티 코스피100,22590,▲,245,1.1,2,22590,22465,22590,22590,22590
'160580,TIGER 구리실물,9780,▼,-30,-0.31,527,9800,9780,9775,9815,9740
'161000,애경케미칼,9200,▼,-220,-2.34,154732,9200,9180,9420,9450,9040
'161390,한국타이어앤테크놀로지,34550,▼,-100,-0.29,244034,34550,34500,34800,34950,33900
'161510,ARIRANG 고배당주,10735,▼,-65,-0.6,53933,10760,10735,10785,10815,10720
'161890,한국콜마,33900,▼,-150,-0.44,37546,33900,33850,34050,34200,33700
'163560,동일고무벨트,6240,▲,40,0.65,42827,6240,6220,6200,6350,6160
'166400,TIGER 200커버드콜5%OTM,11010,▲,55,0.5,10134,11010,10995,10910,11030,10910
'167860,KOSEF 국고채10년레버리지,94090,▲,2055,2.23,1562,94115,94070,95550,95550,92280
'168300,KTOP 코스피50,20640,▲,195,0.95,252,20725,20635,20485,20740,20465
'168580,ACE 중국본토CSI300,25370,▼,-25,-0.1,55912,25395,25370,25300,25680,25290
'169950,KODEX 차이나A50,18185,▲,10,0.06,8660,18185,18155,18340,18340,18030
'170900,동아에스티,51700,▲,2000,4.02,15647,51900,51700,49700,52500,49300
'174350,TIGER 로우볼,10840,▲,30,0.28,47963,10840,10810,10805,10855,10805
'174360,KBSTAR 중국본토대형주CSI100,17150,▲,100,0.59,4500,17150,17110,17050,17220,17010
'175330,JB금융지주,7090, ,0,0,132386,7100,7090,7120,7140,7090
'176950,KODEX 국채선물10년인버스,55495,▼,-640,-1.14,2020,55560,55495,55830,56145,55455
'178920,PI첨단소재,29750,▼,-50,-0.17,197962,29800,29750,29950,30550,29500
'180640,한진칼,39000,▲,1500,4,131449,39150,39000,37200,39300,37200
'18064K,한진칼우,22300, ,0,0,835,22400,22300,22100,22850,22100
'181480,ACE 미국다우존스리츠(합성 H),72990,▲,1755,2.46,79,73590,72985,71240,73595,71240
'181710,NHN,23000,▼,-600,-2.54,40039,23200,23000,23400,23700,23000
'182480,TIGER 미국MSCI리츠(합성 H),11775,▲,325,2.84,19453,11775,11745,11725,11810,11700
'182490,TIGER 단기선진하이일드(합성 H),11635,▲,50,0.43,383,11635,11560,11555,11635,11555
'183190,아세아시멘트,8960,▼,-220,-2.4,104340,8970,8960,9180,9260,8950
'183700,KBSTAR 채권혼합,55905,▲,375,0.68,2906,55900,55755,55765,55905,55715
'183710,KBSTAR 주식혼합,34460,▲,320,0.94,6,34455,34365,34305,34515,34305
'185680,KODEX 미국S&P바이오(합성),24805,▲,140,0.57,1464,24930,24805,24915,24940,24805
'185750,종근당,80000,▲,1600,2.04,17088,80000,79800,77800,80200,77800
'189400,ARIRANG 글로벌MSCI(합성 H),13880,▲,115,0.84,144,13875,13860,13860,13880,13860
'190620,ACE 단기통안채,101155,▲,10,0.01,5207,101155,101150,101150,101155,101150
'192080,더블유게임즈,48000,▲,700,1.48,53055,48050,48000,47100,48600,47050
'192090,TIGER 차이나CSI300,9465,▲,75,0.8,46140,9480,9465,9430,9600,9360
'192400,쿠쿠홀딩스,16150,▼,-300,-1.82,7718,16150,16100,16450,16650,16100
'192650,드림텍,10100,▼,-200,-1.94,150068,10150,10100,10350,10450,10000
'192720,파워 고배당저변동성,25905,▼,-50,-0.19,80,26005,25905,25905,26065,25860
'192820,코스맥스,46000, ,0,0,36668,46000,45950,46000,46850,45200
'194370,제이에스코퍼레이션,13750,▲,50,0.36,23146,13750,13700,13800,13850,13550
'195870,해성디에스,38000,▼,-1600,-4.04,198954,38150,38000,39550,39600,38000
'195920,TIGER 일본TOPIX(합성 H),16075,▲,80,0.5,199,16065,16060,16085,16085,16010
'195930,TIGER 유로스탁스50(합성 H),12390,▲,90,0.73,2567,12390,12360,12325,12400,12325
'195970,ARIRANG 선진국MSCI(합성 H),9085,▲,135,1.51,5471,9145,9070,9075,9170,9060
'195980,ARIRANG 신흥국MSCI(합성 H),7990,▲,75,0.95,16879,7990,7985,7915,8090,7915
'196030,ACE 일본TOPIX레버리지(H),20500,▲,245,1.21,39,20550,20500,20555,20645,20500
'196230,KBSTAR 단기통안채,105745,▲,10,0.01,864497,105750,105745,105735,105760,105730
'200030,KODEX 미국S&P산업재(합성),22360,▼,-210,-0.93,2358,22445,22360,22510,22540,22350
'200250,KOSEF 인도Nifty50(합성),20010,▼,-60,-0.3,9631,20010,20005,20340,20340,19955
'200880,서연이화,6880,▼,-200,-2.82,100613,6910,6880,7150,7150,6880
'203780,TIGER 미국나스닥바이오,20435,▼,-125,-0.61,11412,20470,20435,20565,21040,20325
'204210,모두투어리츠,4165,▲,105,2.59,7365,4170,4165,4090,4165,4015
'204320,HL만도,46550,▼,-200,-0.43,226279,46600,46550,46750,47250,46150
'204450,KODEX 차이나H레버리지(H),1395,▼,-15,-1.06,899150,1410,1395,1405,1470,1370
'204480,TIGER 차이나CSI300레버리지(합성),18780,▲,70,0.37,25493,18830,18780,18720,19240,18580
'205720,ACE 일본TOPIX인버스(합성 H),4050,▼,-25,-0.61,6478,4050,4035,4080,4080,4020
'207940,삼성바이오로직스,896000,▲,12000,1.36,86307,896000,895000,885000,899000,876000
'210540,디와이파워,10150,▲,300,3.05,96722,10150,10100,9930,10400,9860
'210780,TIGER 코스피고배당,12170,▼,-60,-0.49,3118,12170,12135,12235,12240,12140
'210980,SK디앤디,21000,▼,-350,-1.64,13302,21000,20950,21300,21500,20950
'211560,TIGER 배당성장,14485,▼,-60,-0.41,464,14460,14425,14550,14550,14425
'211900,KODEX 배당성장,11645,▼,-65,-0.56,1027,11645,11630,11725,11725,11600
'213500,한솔제지,14000,▼,-500,-3.45,184948,14000,13950,14450,14500,13850
'213610,KODEX 삼성그룹밸류,8505,▲,155,1.86,147301,8505,8485,8365,8505,8355
'213630,ARIRANG 미국다우존스고배당주(합성 H),15405,▲,325,2.16,1175,15405,15375,15275,15415,15275
'214320,이노션,40050,▲,1550,4.03,30134,40050,40000,38650,40150,38500
'214330,금호에이치티,1000,▼,-30,-2.91,485427,1005,1000,1025,1040,999
'214390,경보제약,5350,▲,10,0.19,24832,5360,5350,5400,5480,5300
'214420,토니모리,3200,▼,-25,-0.78,47617,3205,3200,3280,3280,3170
'214980,KODEX 단기채권PLUS,104175,▲,10,0.01,2306,104180,104175,104195,104195,104175
'215620,HK S&P코리아로우볼,10970,▼,-20,-0.18,0,10970,10910,0,0,0
'217770,TIGER 원유선물인버스(H),3245,▲,10,0.31,609943,3250,3245,3235,3260,3230
'217780,TIGER 차이나CSI300인버스(합성),8830,▼,-50,-0.56,61168,8830,8785,8875,8905,8710
'217790,TIGER 가격조정,19280,▼,-225,-1.15,0,19280,19240,0,0,0
'218420,KODEX 미국S&P에너지(합성),14470,▼,-205,-1.4,34615,14470,14460,14665,14670,14355
'219390,KBSTAR 미국S&P원유생산기업(합성 H),6750,▲,95,1.43,54530,6750,6735,6690,6790,6650
'219480,KODEX 미국S&P500선물(H),18305,▲,85,0.47,103326,18305,18285,18305,18330,18255
'219900,ACE 중국본토CSI300레버리지(합성),3395,▲,25,0.74,2418,3400,3395,3370,3495,3350
'220130,SOL 중국본토 중소형 CSI500(합성 H),4540,▲,35,0.78,1072,4610,4530,4540,4540,4485
'223190,KODEX 200가치저변동,8525,▲,35,0.41,121,8525,8495,8490,8545,8460
'225030,TIGER 미국S&P500선물인버스(H),4190,▼,-20,-0.48,99997,4200,4190,4200,4205,4190
'225040,TIGER 미국S&P500레버리지(합성 H),22520,▲,285,1.28,37342,22520,22510,22425,22530,22395
'225050,TIGER 유로스탁스레버리지(합성 H),6730,▲,175,2.67,2192,6735,6730,6625,6800,6625
'225060,TIGER 이머징마켓MSCI레버리지(합성 H),5630,▲,45,0.81,82,5630,5595,5450,5630,5450
'225130,ACE 골드선물 레버리지(합성 H),13510,▲,180,1.35,860,13515,13510,13355,13510,13320
'225800,KOSEF 미국달러선물레버리지,13870,▼,-120,-0.86,131111,13870,13830,13910,13980,13810
'226320,잇츠한불,14300, ,0,0,26311,14350,14300,14450,14500,14250
'226380,ACE Fn성장소비주도주,5270,▼,-20,-0.38,92,5270,5230,5285,5285,5210
'226490,KODEX 코스피,22910,▲,155,0.68,420943,22910,22880,22825,22980,22750
'226980,KODEX 200 중소형,10135,▼,-60,-0.59,532,10135,10120,10190,10190,10135
'227540,TIGER 200 헬스케어,17060,▲,40,0.24,3589,17060,17040,17020,17150,16920
'227550,TIGER 200 산업재,5800,▲,60,1.05,685,5810,5790,5745,5800,5745
'227560,TIGER 200 생활소비재,7700,▼,-15,-0.19,9936,7725,7705,7725,7740,7685
'227570,TIGER 우량가치,9690,▼,-30,-0.31,48673,9680,9655,9695,9735,9655
'227830,ARIRANG 코스피,23205,▲,135,0.59,18211,23205,23160,23145,23290,23090
'227840,현대코퍼레이션홀딩스,10000,▲,50,0.5,9091,10000,9990,10050,10050,9900
'228790,TIGER 화장품,1740,▼,-30,-1.69,220753,1745,1740,1775,1775,1730
'228800,TIGER 여행레저,3390,▼,-35,-1.02,642740,3400,3390,3430,3445,3370
'228810,TIGER 미디어컨텐츠,5525,▼,-80,-1.43,91385,5540,5525,5605,5615,5525
'228820,TIGER KTOP30,7650,▲,20,0.26,212,7665,7645,7625,7675,7625
'229200,KODEX 코스닥150,9820,▼,-60,-0.61,8825460,9825,9820,9875,9940,9815
'229640,LS전선아시아,7580,▲,40,0.53,146677,7590,7580,7480,7750,7480
'229720,KODEX KTOP30,15295,▲,140,0.92,58,15320,15265,15245,15325,15245
'230480,KOSEF 미국달러선물인버스2X,5260,▲,75,1.45,124056,5260,5255,5230,5260,5200
'232080,TIGER 코스닥150,10055,▼,-50,-0.49,60160,10100,10055,10105,10195,10055
'233160,TIGER 코스닥150 레버리지,7125,▼,-45,-0.63,212688,7125,7120,7100,7270,7095
'233740,KODEX 코스닥150레버리지,6540,▼,-40,-0.61,24428839,6540,6535,6590,6660,6500
'234080,JW생명과학,11500,▼,-100,-0.86,14046,11500,11450,11450,11650,11350
'234310,KBSTAR V&S셀렉트밸류,11495,▲,25,0.22,5,11535,11490,11455,11515,11455
'236350,TIGER 인도니프티50레버리지(합성),29625,▲,340,1.16,2842,29625,29455,29670,29670,29165
'237350,KODEX 코스피100,22850,▲,175,0.77,1591,22850,22830,22725,22910,22670
'237370,KODEX 배당성장채권혼합,11000,▲,5,0.05,2271,11000,10990,10970,11020,10960
'237440,TIGER 경기방어채권혼합,8770,▲,5,0.06,530,8785,8770,8765,8785,8765
'238670,ARIRANG 스마트베타Quality채권혼합,10115,▲,20,0.2,230,10115,10075,10100,10120,10070
'238720,ACE 일본Nikkei225(H),18325,▲,145,0.8,261,18325,18225,18180,18325,18180
'239660,ARIRANG 우량회사채50 1년,108305,▲,25,0.02,3743,108310,108305,108300,108315,108280
'241180,TIGER 일본니케이225,15665,▲,125,0.8,15280,15680,15665,15605,15735,15605
'241390,KBSTAR V&S셀렉트밸류채권혼합,10630,▲,20,0.19,1828,10660,10630,10645,10660,10620
'241560,두산밥캣,29950,▲,400,1.35,181994,29950,29900,29800,30200,29600
'241590,화승엔터프라이즈,8930,▼,-760,-7.84,666638,8930,8920,9690,9700,8830
'243880,TIGER 200IT레버리지,31795,▲,680,2.19,7302,31800,31795,31500,32215,31025
'243890,TIGER 200에너지화학레버리지,9870,▲,50,0.51,1591,9870,9830,9890,10020,9835
'244580,KODEX 바이오,7575,▼,-10,-0.13,53061,7575,7570,7550,7645,7515
'244620,KODEX 모멘텀Plus,9035,▼,-110,-1.2,30671,9030,9000,9145,9145,9035
'244660,KODEX 퀄리티Plus,6975,▼,-25,-0.36,0,6975,6950,0,0,0
'244670,KODEX 밸류Plus,7410,▼,-65,-0.87,13439,7425,7400,7450,7450,7410
'244920,에이플러스에셋,5390,▲,120,2.28,30813,5390,5350,5280,5480,5260
'245340,TIGER 미국다우존스30,22385,▲,55,0.25,12354,22390,22385,22420,22495,22385
'245350,TIGER 유로스탁스배당30,10925,▲,30,0.28,1322,10960,10925,10990,10990,10925
'245360,TIGER 차이나HSCEI,7785,▼,-210,-2.63,351928,7850,7785,7855,8120,7780
'245710,ACE 베트남VN30(합성),16115,▼,-360,-2.19,78412,16120,16115,16240,16460,15965
'248070,솔루엠,16950,▼,-550,-3.14,134174,17000,16950,17550,17650,16950
'248170,샘표식품,29900,▲,50,0.17,10132,29950,29900,30100,30100,29500
'248260,TIGER 일본TOPIX헬스케어(합성),12090,▲,225,1.9,62,12090,12055,11905,12090,11905
'248270,TIGER S&P글로벌헬스케어(합성),20320,▼,-150,-0.73,519,20320,20315,20425,20425,20320
'249420,일동제약,28500,▲,250,0.88,397175,28550,28500,28350,29250,27900
'250730,KBSTAR 차이나HSCEI(H),6205,▼,-10,-0.16,11449,6205,6200,6180,6335,6170
'250780,TIGER 코스닥150선물인버스,5660,▲,25,0.44,973086,5660,5655,5720,5720,5595
'251270,넷마블,41950,▼,-2800,-6.26,425558,42000,41950,44400,44400,41900
'251340,KODEX 코스닥150선물인버스,5515,▲,25,0.46,41275323,5520,5515,5495,5530,5460
'251350,KODEX 선진국MSCI World,20605,▲,105,0.51,81365,20605,20555,20510,20640,20510
'251590,ARIRANG 고배당저변동50,10315,▼,-5,-0.05,1094,10315,10280,10315,10340,10280
'251600,ARIRANG 고배당주채권혼합,10305,▲,5,0.05,1174,10305,10280,10315,10315,10275
'251890,ACE 코스닥(합성),9760,▼,-65,-0.66,94,9765,9730,9825,9825,9760
'252000,TIGER 200동일가중,9590,▼,-30,-0.31,0,9590,9565,0,0,0
'252400,KBSTAR 200선물레버리지,11770,▲,180,1.55,3647,11770,11760,11570,11875,11570
'252410,KBSTAR 200선물인버스,6690,▼,-60,-0.89,10595,6690,6685,6750,6750,6655
'252420,KBSTAR 200선물인버스2X,3515,▼,-40,-1.13,204985,3515,3505,3545,3565,3470
'252650,KODEX 200동일가중,9150,▼,-15,-0.16,20,9140,9115,9155,9175,9150
'252670,KODEX 200선물인버스2X,3530,▼,-50,-1.4,197363889,3530,3525,3590,3595,3495
'252710,TIGER 200선물인버스2X,3700,▼,-55,-1.46,4413434,3705,3700,3765,3770,3660
'252720,KBSTAR 모멘텀밸류,11820,▲,35,0.3,5,11865,11825,11775,11865,11775
'252730,KBSTAR 모멘텀로우볼,12885,▲,80,0.62,5,12930,12890,12810,12910,12810
'253150,ARIRANG 200선물레버리지,23510,▲,290,1.25,4773,23545,23510,23185,23755,23145
'253160,ARIRANG 200선물인버스2X,7120,▼,-95,-1.32,72392,7120,7115,7220,7235,7045
'253230,KOSEF 200선물인버스2X,3515,▼,-65,-1.82,90798,3530,3515,3580,3585,3495
'253240,KOSEF 200선물인버스,6760,▼,-50,-0.73,2898,6760,6750,6795,6800,6730
'253250,KOSEF 200선물레버리지,11605,▲,145,1.27,7386,11610,11605,11335,11725,11335
'253280,KBSTAR 헬스케어,10420,▲,15,0.14,1199,10440,10420,10410,10490,10410
'253290,KBSTAR 헬스케어채권혼합,10605,▲,55,0.52,1997,10605,10590,10575,10605,10570
'256440,ACE 인도네시아MSCI(합성),11515,▼,-95,-0.82,3480,11550,11515,11660,11670,11515
'256450,ARIRANG 심천차이넥스트(합성),10895,▲,290,2.73,3,10865,10800,10930,10940,10895
'256750,KODEX 차이나심천ChiNext(합성),10915,▲,210,1.96,23628,10945,10855,10675,11105,10675
'259960,크래프톤,172500,▼,-2000,-1.15,130495,173000,172500,175000,177500,172000
'261060,TIGER 코스닥150IT,11945,▼,-90,-0.75,1859,11945,11920,12020,12080,11910
'261070,TIGER 코스닥150바이오테크,6740,▼,-10,-0.15,6401,6755,6740,6780,6815,6730
'261110,TIGER 미국달러선물레버리지,14575,▼,-180,-1.22,58563,14620,14610,14650,14735,14560
'261120,TIGER 미국달러선물인버스2X,5940,▲,55,0.93,131353,5940,5930,5960,5960,5700
'261140,TIGER 우선주,9935,▲,55,0.56,8761,9935,9900,9930,9935,9865
